Parameter,Maximum Flooding Depth,10YR Flood Depth,Existing Conditions,Total Benefiting Population,Resident Benefits Efficiency,Structure Benefit Efficiency,Social Vulnerability Index,LMI
Maximum Flooding Depth,1,2,2,0.5,0.5,0.5,0.5,2
10YR Flood Depth,,1,4,1,0.5,0.5,0.5,1
Existing Conditions,,,1,0.25,0.25,0.25,0.333333333,0.5
Total Benefiting Population,,,,1,2,2,2,3
Resident Benefits Efficiency,,,,,1,1,1,3
Structure Benefit Efficiency,,,,,,1,1,2
Social Vulnerability Index,,,,,,,1,2
LMI,,,,,,,,1
